time,price,size
1725257869953,189660,1
1725257869954,189660,1
1725257875349,189640,1
1725257879703,189620,1
1725257884359,189610,2
1725257884360,189610,2
1725257891373,189600,1
1725257891374,189600,1
1725257902639,189580,1
1725257924449,189580,2
1725257924656,189560,1
1725257924656,189560,1
1725258013780,189580,1
1725258020096,189560,1
1725258086352,189550,1
1725258103377,189520,1
1725258131660,189540,1
1725258138673,189560,2
1725258138673,189560,2
1725258328412,189570,1
1725258328412,189570,1
1725258359701,189560,1
1725258394576,189560,2
1725258431547,189590,1
1725258431554,189590,1
1725258434052,189570,1
1725258465593,189550,1
1725258487454,189580,1
1725258512902,189630,1
1725258514488,189640,1
1725258536504,189630,1
1725258537936,189610,1
1725258552705,189620,1
1725258586273,189610,2
1725258586273,189610,2
1725258609531,189590,2
1725258610034,189600,2
1725258610782,189600,1
1725258611784,189590,1
1725258621799,189550,2
1725258621799,189550,2
1725258622799,189560,1
1725258622799,189560,1
1725258648592,189550,1
1725258678122,189540,1
1725258785575,189550,2
1725258785575,189550,2
1725258786582,189550,1
1725258802304,189540,2
1725258802304,189540,2
1725258816823,189550,2
1725258824079,189560,1
1725258824079,189560,1
1725258827143,189570,1
1725258832579,189570,3
1725258838091,189550,2
1725258838091,189550,2
1725258844846,189550,1
1725258895916,189540,2
1725258895916,189540,2
1725258896664,189540,1
1725258913291,189550,1
1725258942989,189570,1
1725258960758,189550,1
1725258980790,189540,1
1725258988294,189530,1
1725259015582,189580,1
1725259021409,189590,1
1725259055903,189580,2
1725259055903,189580,2
1725259070894,189580,1
1725259080412,189590,1
1725259144586,189600,1
1725259168039,189620,1
1725259173782,189620,4
1725259174079,189610,1
1725259174079,189610,1
1725259199097,189620,1
1725259223448,189590,1
1725259230716,189600,1
1725259258642,189580,2
1725259258642,189580,2
1725259324224,189610,1
1725259324224,189610,1
1725259331490,189590,4
1725259331490,189590,4
1725259355316,189580,1
1725259355316,189580,1
1725259355836,189590,2
1725259355836,189590,2
1725259382295,189570,2
1725259393060,189550,3
1725259393060,189550,3
1725259405595,189570,1
1725259405595,189570,1
1725259413173,189560,3
1725259413173,189560,3
1725259416339,189560,1
1725259454442,189550,1
1725259460394,189530,2
1725259460394,189530,2
1725259461145,189550,1
1725259461145,189550,1
1725259466152,189530,1
1725259495704,189570,2
1725259495704,189570,2
1725259537075,189580,1
1725259537076,189580,1
1725259630614,189550,1
1725259664664,189520,1
1725259678176,189530,1
1725259692443,189530,2
1725259704708,189510,2
1725259714974,189500,5
1725259714974,189500,5
1725259726738,189510,2
1725259726738,189510,2
1725259756527,189500,1
1725259756527,189500,1
1725259765288,189530,1
1725259770854,189520,1
1725259814352,189530,1
1725259834129,189510,1
1725259867423,189530,1
1725259905723,189510,2
1725259905723,189510,2
1725259911230,189500,1
1725259911230,189500,1
1725259913984,189480,1
1725259923995,189490,1
1725259941557,189500,1
1725259969822,189510,1
1725260017443,189520,1
1725260017617,189510,1
1725260018870,189530,3
1725260018870,189530,3
1725260019384,189520,2
1725260019384,189520,2
1725260034232,189520,1
1725260077036,189530,1
1725260084309,189540,1
1725260090043,189550,1
1725260090710,189560,3
1725260090710,189560,3
1725260091711,189570,1
1725260091711,189570,1
1725260097826,189580,1
1725260100223,189590,1
1725260100724,189580,2
1725260100724,189580,2
1725260102477,189570,1
1725260102477,189570,1
1725260114243,189580,3
1725260114243,189580,3
1725260115744,189570,1
1725260115744,189570,1
1725260121075,189570,3
1725260121251,189560,2
1725260121251,189560,2
1725260122002,189560,1
1725260145031,189530,1
1725260164056,189550,1
1725260245411,189560,1
1725260251920,189570,1
1725260264186,189590,1
1725260313591,189570,1
1725260313750,189550,1
1725260314001,189560,1
1725260340287,189570,1
1725260367352,189600,1
1725260368070,189600,2
1725260375080,189580,1
1725260375080,189580,1
1725260385093,189580,2
1725260393855,189560,2
1725260395359,189580,2
1725260395608,189570,1
1725260395608,189570,1
1725260396610,189580,1
1725260397360,189600,4
1725260397360,189600,4
1725260398111,189600,2
1725260398377,189590,3
1725260398377,189590,3
1725260399125,189600,1
1725260399125,189600,1
1725260400365,189580,1
1725260401116,189610,1
1725260401366,189590,1
1725260402118,189560,1
1725260402373,189610,1
1725260402618,189620,1
1725260402869,189610,1
1725260404372,189610,2
1725260405123,189640,2
1725260405380,189640,1
1725260407124,189630,1
1725260408144,189620,1
1725260408877,189620,3
1725260409877,189610,1
1725260409877,189610,1
1725260410628,189620,2
1725260410628,189620,2
1725260411379,189620,1
1725260413131,189630,2
1725260413131,189630,2
1725260413632,189620,1
1725260413632,189620,1
1725260413883,189630,3
1725260413883,189630,3
1725260415385,189590,1
1725260415385,189590,1
1725260416386,189570,5
1725260416386,189570,5
1725260416637,189580,1
1725260416637,189580,1
1725260417226,189570,1
1725260417388,189540,1
1725260421894,189530,2
1725260421894,189530,2
1725260423147,189530,1
1725260425900,189540,1
1725260427653,189500,4
1725260427653,189500,4
1725260427903,189500,1
1725260428655,189520,1
1725260428905,189540,2
1725260428905,189540,2
1725260430224,189530,1
1725260430224,189530,1
1725260430498,189530,2
1725260432910,189540,1
1725260432910,189540,1
1725260434662,189540,2
