,timeLastStr,timediff,timescore,prcdiff,prcgrad,volSum,timeLast,priceLast,priceAvgXX,priceMean,priceMin,priceMax,priceScore,timein50Str,timein50,pricein50,min50,max50,timein250Str,timein250,pricein250,min250,max250,timein500Str,timein500,pricein500,min500,max500,timein1000Str,timein1000,pricein1000,min1000,max1000,ago250timeStr,ago250time,ago250price,ago250diff,ago250grad,ago250diffAct,avg250min,avg250max,avg250siz,avg250wavg,avg250diff,avg250grad,avg250diffAct,avg250crossAct,ago1000timeStr,ago1000time,ago1000price,ago1000diff,ago1000grad,ago1000diffAct,avg1000min,avg1000max,avg1000siz,avg1000wavg,avg1000diff,avg1000grad,avg1000diffAct,avg1000crossAct,trigger250,trigger500,trigger1000,priceMin0,priceMax0,priceMean0,avg250wavg0,avg1000wavg0,pricein250n,pricein1000n,avg250wavgDif,avg1000wavgDif,pricein250dif,min250_,max250_,min500_,max500_,min1000_,max1000_
0,2024-09-02 07:21:51.799000,42.302,0.0709186326887617,10,0.2363954422958725,48,1725261711799,188700,188665,188653,188610,188700,0,2024-09-02 07:22:46.615000,1725261766615,188730,188690,188800,2024-09-02 07:29:01.827000,1725262141827,188470,188470,188820,2024-09-02 07:30:13.167000,1725262213167,188190,188160,188820,2024-09-02 07:57:12.427000,1725263832427,188870,188140,188930,2024-09-02 07:16:53.915000,1725261413915,188834,-36,-0.0011727559765446,168,188590,188930,392,188753,-18,-0.4330333556743684,87,0,2024-09-02 06:34:55.916000,1725258895916,189558,-20,-0.0011727559765446,892,188590,189640,1585,189151,-23,-0.5495789960549688,485,0,0,0,0,-90,0,-35,53,451,-230,170,88,486,-195,-230,120,-540,120,-560,230
1,2024-09-02 07:22:22.585000,30.002,0.0999933337777481,70,2.333177788147457,43,1725261742585,188770,188701,188742,188690,188780,6,2024-09-02 07:23:19.307000,1725261799307,188760,188670,188800,2024-09-02 07:29:24.199000,1725262164199,188520,188470,188820,2024-09-02 07:30:24.304000,1725262224304,188190,188140,188820,2024-09-02 08:00:08.883000,1725264008883,188950,188140,188950,2024-09-02 07:17:09.936000,1725261429936,188764,-70,-0.0043692653392422,62,188590,188930,385,188748,-5,-0.1736433402892402,46,0,2024-09-02 06:42:11.490000,1725259331490,189584,26,-0.0043692653392422,883,188590,189640,1600,189128,-22,-0.7513109798985489,426,0,0,0,0,-10,80,1,48,428,-180,250,47,427,-181,-230,120,-560,120,-560,250
2,2024-09-02 07:22:46.615000,22.44,0.1336898395721925,-50,-2.228163992869875,34,1725261766615,188730,188718,188760,188710,188800,-4,2024-09-02 07:24:06.715000,1725261846715,188770,188670,188820,2024-09-02 07:29:52.890000,1725262192890,188530,188470,188820,2024-09-02 07:30:37.449000,1725262237449,188230,188140,188820,2024-09-02 08:01:37.988000,1725264097988,188950,188140,188990,2024-09-02 07:17:30.963000,1725261450963,188770,6,0.0002853474104722,52,188590,188930,385,188747,0,-0.0266222191354365,29,0,2024-09-02 06:47:44.664000,1725259664664,189561,-23,0.0002853474104722,842,188590,189640,1591,189108,-19,-0.8740024029444002,390,0,0,0,0,10,100,18,47,408,-170,250,29,390,-188,-230,120,-560,120,-560,290
3,2024-09-02 07:23:19.307000,32.692,0.0917655695583017,30,0.9176556955830172,41,1725261799307,188760,188741,188721,188670,188780,2,2024-09-02 07:25:04.034000,1725261904034,188740,188680,188820,2024-09-02 07:30:03.494000,1725262203494,188270,188160,188820,2024-09-02 07:30:55.480000,1725262255480,188270,188140,188820,2024-09-02 08:02:42.399000,1725264162399,188870,188140,188990,2024-09-02 07:18:08.351000,1725261488351,188828,57,0.0015406012624373,86,188590,188930,374,188734,-13,-0.4069512080106818,-6,0,2024-09-02 06:53:38.870000,1725260018870,189510,-50,0.0015406012624373,769,188590,189640,1589,189089,-19,-0.6041139528531594,348,0,0,0,0,-30,80,41,34,389,-430,170,-7,348,-471,-540,120,-560,120,-560,290
4,2024-09-02 07:24:06.715000,46.273,0.0648326237762842,0,0.0,32,1725261846715,188770,188756,188786,188760,188820,0,2024-09-02 07:25:53.426000,1725261953426,188680,188670,188800,2024-09-02 07:30:13.167000,1725262213167,188190,188160,188800,2024-09-02 07:31:44.439000,1725262304439,188310,188140,188800,2024-09-02 08:04:26.525000,1725264266525,188790,188140,188990,2024-09-02 07:18:42.052000,1725261522052,188886,58,0.001721017180499,130,188590,188930,369,188723,-11,-0.2441155349068342,-32,0,2024-09-02 06:55:22.002000,1725260122002,189559,48,0.001721017180499,803,188590,189640,1579,189069,-19,-0.4145457168011989,313,0,-1,-1,0,60,120,56,23,369,-510,90,-33,313,-566,-540,100,-560,100,-560,290
5,2024-09-02 07:25:04.034000,57.068,0.0525688652134295,20,0.3504591014228639,33,1725261904034,188740,188741,188716,188680,188740,0,2024-09-02 07:26:21.127000,1725261981127,188660,188600,188800,2024-09-02 07:30:24.304000,1725262224304,188190,188140,188800,2024-09-02 07:32:31.839000,1725262351839,188380,188140,188800,2024-09-02 08:05:28.026000,1725264328026,188830,188140,188990,2024-09-02 07:19:19.599000,1725261559599,188848,-38,-0.0010120648786853,106,188590,188820,369,188710,-12,-0.2151192045320117,-30,0,2024-09-02 06:59:59.125000,1725260399125,189577,17,-0.0010120648786853,835,188590,189640,1573,189049,-20,-0.3617145643113227,307,0,0,0,0,-20,40,41,10,349,-510,130,-31,308,-551,-560,100,-560,100,-560,290
6,2024-09-02 07:25:53.426000,47.817,0.0627391931739757,-50,-1.0456532195662631,37,1725261953426,188680,188748,188743,188670,188800,-2,2024-09-02 07:27:18.449000,1725262038449,188670,188600,188700,2024-09-02 07:30:37.449000,1725262237449,188230,188140,188700,2024-09-02 07:33:18.240000,1725262398240,188460,188140,188700,2024-09-02 08:08:04.407000,1725264484407,188940,188140,188990,2024-09-02 07:19:54.895000,1725261594895,188732,-115,-0.0032638259292841,-16,188590,188820,368,188711,1,0.0233445438648362,-36,0,2024-09-02 07:00:13.883000,1725260413883,189615,38,-0.0032638259292841,866,188590,189590,1573,189028,-20,-0.4292961533346942,279,0,0,0,0,-30,100,48,11,328,-470,240,-37,280,-518,-560,0,-560,0,-560,290
7,2024-09-02 07:26:21.127000,27.701,0.1082993393740298,-20,-0.7219955958268655,49,1725261981127,188660,188701,188643,188600,188680,-2,2024-09-02 07:28:29.373000,1725262109373,188550,188550,188700,2024-09-02 07:30:55.480000,1725262255480,188270,188140,188700,2024-09-02 07:34:12.965000,1725262452965,188460,188140,188700,2024-09-02 08:10:24.089000,1725264624089,188980,188140,188990,2024-09-02 07:20:17.265000,1725261617265,188639,-93,-0.004166294143942,-61,188590,188820,385,188708,-3,-0.1127379204300277,7,0,2024-09-02 07:00:36.339000,1725260436339,189543,-72,-0.004166294143942,842,188590,189570,1577,189002,-26,-0.9624715605828345,301,0,0,0,0,-100,-20,1,8,302,-430,280,7,301,-431,-560,0,-560,0,-560,290
8,2024-09-02 07:27:18.449000,55.531,0.054023878554321,10,0.18007959518107,40,1725262038449,188670,188688,188678,188650,188700,0,2024-09-02 07:29:01.827000,1725262141827,188470,188470,188670,2024-09-02 07:31:44.439000,1725262304439,188310,188140,188670,2024-09-02 07:35:14.542000,1725262514542,188540,188140,188670,2024-09-02 08:12:51.291000,1725264771291,188970,188140,188990,2024-09-02 07:20:46.464000,1725261646464,188634,-5,-0.0001917873899793,-54,188600,188820,387,188712,4,0.0750304452447151,24,0,2024-09-02 07:01:10.302000,1725260470302,189514,-29,-0.0001917873899793,825,188590,189540,1582,188982,-19,-0.3486683172649363,294,0,0,0,0,-50,0,-12,12,282,-390,270,24,294,-378,-560,-30,-560,-30,-560,290
9,2024-09-02 07:28:29.373000,57.645,0.0520426749934946,-80,-1.387804666493191,39,1725262109373,188550,188638,188592,188550,188630,-3,2024-09-02 07:29:24.199000,1725262164199,188520,188470,188580,2024-09-02 07:32:31.839000,1725262351839,188380,188140,188580,2024-09-02 07:35:40.413000,1725262540413,188560,188140,188590,2024-09-02 08:15:02.625000,1725264902625,188990,188140,189000,2024-09-02 07:21:09.497000,1725261669497,188709,75,0.0032822472105242,71,188560,188820,395,188701,-11,-0.2048138767936333,62,0,2024-09-02 07:01:50.611000,1725260510611,189492,-21,0.0032822472105242,854,188560,189540,1588,188962,-20,-0.350626709788537,324,0,0,0,0,-150,-70,-62,1,262,-320,290,63,324,-258,-560,-120,-560,-110,-560,300
10,2024-09-02 07:29:01.827000,32.454,0.0924385283786282,-80,-2.4650274234300857,56,1725262141827,188470,188600,188531,188470,188580,-8,2024-09-02 07:29:52.890000,1725262192890,188530,188470,188580,2024-09-02 07:33:18.240000,1725262398240,188460,188140,188580,2024-09-02 07:36:56.666000,1725262616666,188570,188140,188590,2024-09-02 08:17:22.399000,1725265042399,188990,188140,189020,2024-09-02 07:21:51.799000,1725261711799,188653,-56,-0.0013332702945485,52,188500,188820,403,188681,-19,-0.6116015876533322,80,0,2024-09-02 07:02:35.081000,1725260555081,189460,-32,-0.0013332702945485,859,188500,189540,1588,188929,-32,-1.009954954262562,328,0,0,0,0,-230,-120,-100,-19,229,-240,290,81,329,-140,-560,-120,-560,-110,-560,320
11,2024-09-02 07:29:24.199000,22.372,0.1340961916681566,50,2.2349365278026103,46,1725262164199,188520,188537,188488,188470,188520,6,2024-09-02 07:30:03.494000,1725262203494,188270,188160,188580,2024-09-02 07:34:12.965000,1725262452965,188460,188140,188580,2024-09-02 07:38:13.371000,1725262693371,188580,188140,188590,2024-09-02 08:18:28.151000,1725265108151,189080,188140,189080,2024-09-02 07:22:22.585000,1725261742585,188742,88,0.0028844279867468,204,188470,188820,406,188652,-28,-1.27312894722177,115,0,2024-09-02 07:04:08.548000,1725260648548,189507,47,0.0028844279867468,969,188470,189470,1594,188902,-27,-1.2175363957695098,365,0,0,0,0,-230,-180,-163,-48,202,-240,380,115,365,-77,-560,-120,-560,-110,-560,380
12,2024-09-02 07:29:52.890000,28.007,0.1071160781233263,10,0.357053593744421,40,1725262192890,188530,188522,188547,188510,188580,0,2024-09-02 07:30:13.167000,1725262213167,188190,188160,188530,2024-09-02 07:35:14.542000,1725262514542,188540,188140,188550,2024-09-02 07:38:46.818000,1725262726818,188610,188140,188650,2024-09-02 08:19:12.710000,1725265152710,189140,188140,189140,2024-09-02 07:22:46.615000,1725261766615,188760,18,0.0007490636704119,237,188470,188820,411,188634,-18,-0.6545148044636719,112,0,2024-09-02 07:05:28.834000,1725260728834,189426,-80,0.0007490636704119,904,188470,189470,1592,188880,-22,-0.788006709565722,358,0,0,0,0,-190,-120,-178,-66,180,-160,440,112,358,18,-560,-150,-560,-50,-560,440
13,2024-09-02 07:30:03.494000,10.604,0.2829121086382497,-260,-24.519049415314974,54,1725262203494,188270,188459,188342,188160,188530,-79,2024-09-02 07:30:24.304000,1725262224304,188190,188140,188330,2024-09-02 07:35:40.413000,1725262540413,188560,188140,188590,2024-09-02 07:39:31.916000,1725262771916,188610,188140,188650,2024-09-02 08:19:40.248000,1725265180248,189150,188140,189180,2024-09-02 07:23:19.307000,1725261799307,188721,-38,-0.0011868346996203,261,188160,188820,423,188590,-43,-4.129696949127443,131,0,2024-09-02 07:06:25.404000,1725260785404,189426,0,-0.0011868346996203,966,188160,189450,1606,188849,-30,-2.8793995662368,390,0,0,0,0,-540,-170,-241,-110,149,-140,450,131,390,101,-560,-110,-560,-50,-560,480
