date,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl
24_09_02,HI 50,2,1,0.500,12.0,12.5,-0.5,LO 50,2,1,0.500,12.5,18.1,-5.6
24_09_04,HI 50,1,1,1.000,14.8,14.8,0.0,LO 50,2,0,0.000,-19.2,0.0,-12.8
24_09_05,HI 50,1,1,1.000,5.7,5.7,0.0,LO 50,5,4,0.800,75.5,32.1,-0.5
24_09_16,HI 50,5,4,0.800,85.4,30.6,0.0,LO 50,1,0,0.000,-0.7,0.0,-0.7
24_09_17,HI 50,3,1,0.333,-37.5,20.6,-29.1,LO 50,3,1,0.333,-12.3,10.9,-20.4
24_09_23,HI 50,6,5,0.833,81.8,20.0,0.0,LO 50,1,0,0.000,-4.9,0.0,-4.9
24_09_24,HI 50,1,1,1.000,42.9,42.9,0.0,LO 50,2,2,1.000,53.9,28.4,0.0
24_09_26,HI 50,2,1,0.500,8.7,20.3,-11.6,LO 50,0,0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,
,,21,15,0.714,213.8,42.9,-29.1,,16,8,0.500,104.8,32.1,-20.4
