date,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl
24_09_02,HI 83,1,1,1.000,27.6,27.6,0.0,LO 83,1,0,0.000,2.9,2.9,0.0
24_09_04,HI 83,4,1,0.250,7.5,23.3,-6.0,LO 83,2,0,0.000,-10.2,0.8,-11.0
24_09_05,HI 83,3,1,0.333,9.9,24.4,-9.0,LO 83,5,2,0.400,63.7,41.9,-4.9
24_09_16,HI 83,8,4,0.500,109.4,42.7,-5.0,LO 83,2,2,1.000,28.7,23.4,0.0
24_09_17,HI 83,5,2,0.400,35.5,25.2,-15.0,LO 83,4,3,0.750,108.7,56.6,-4.5
24_09_23,HI 83,3,3,1.000,45.5,19.4,0.0,LO 83,3,1,0.333,-5.6,6.6,-15.0
24_09_24,HI 83,6,4,0.667,134.9,72.9,-5.0,LO 83,5,4,0.800,63.1,19.3,0.0
24_09_26,HI 83,5,2,0.400,88.1,89.6,-5.9,LO 83,3,1,0.333,9.9,25.9,-9.5
,,,,,,,,,,,,,,
,,35,18,0.514,458.4,89.6,-15.0,,25,13,0.520,261.2,56.6,-15.0
