date,model,my_trigger,target,hit,not_found,precision,recall,f1_score,model,my_trigger,target,hit,not_found,precision,recall,f1_score
24_09_02,HI 83,1,3,1,2,1.000,0.333,0.250,LO 83,1,2,1,1,1.000,0.500,0.333
24_09_04,HI 83,4,6,1,5,0.250,0.167,0.100,LO 83,2,7,0,7,0.000,0.000,0.0
24_09_05,HI 83,3,6,1,5,0.333,0.167,0.111,LO 83,5,7,4,3,0.800,0.571,0.333
24_09_16,HI 83,8,4,3,1,0.375,0.750,0.250,LO 83,2,3,1,2,0.500,0.333,0.200
24_09_17,HI 83,5,5,3,2,0.600,0.600,0.300,LO 83,4,5,0,5,0.000,0.000,0.0
24_09_23,HI 83,3,7,2,5,0.667,0.286,0.200,LO 83,3,6,0,6,0.000,0.000,0.0
24_09_24,HI 83,6,9,4,5,0.667,0.444,0.267,LO 83,5,9,2,7,0.400,0.222,0.143
24_09_26,HI 83,5,6,2,4,0.400,0.333,0.182,LO 83,3,6,1,5,0.333,0.167,0.111
,,,,,,,,,,,,,,,,
,,35,46,17,29,0.486,0.370,0.210,,25,45,9,36,0.360,0.200,0.129
