date,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl
24_10_18,HI 67,5,4,0.800,31.3,9.6,0.0,LO 67,4,1,0.250,10.5,21.8,-8.6
24_10_23,HI 67,8,2,0.250,-43.6,20.4,-22.6,LO 67,3,3,1.000,42.5,19.0,0.0
24_10_24,HI 67,7,2,0.286,-6.6,23.2,-13.6,LO 67,5,3,0.600,44.9,28.1,-10.2
24_10_25,HI 67,2,2,1.000,23.8,15.2,0.0,LO 67,4,2,0.500,7.5,17.2,-14.5
24_10_29,HI 67,7,2,0.286,18.5,19.8,-15.9,LO 67,5,3,0.600,73.1,30.5,-1.9
24_10_30,HI 67,4,1,0.250,-4.3,15.8,-19.2,LO 67,5,1,0.200,-16.5,7.3,-22.7
24_10_31,HI 67,4,2,0.500,-12.3,14.5,-21.4,LO 67,6,1,0.167,28.1,18.9,-0.4
24_11_01,HI 67,5,5,1.000,59.5,22.3,0.0,LO 67,2,1,0.500,7.2,8.0,-0.8
24_11_04,HI 67,8,4,0.500,29.2,11.3,-5.8,LO 67,4,2,0.500,21.8,23.7,-9.4
24_11_05,HI 67,5,2,0.400,26.2,24.6,-20.6,LO 67,4,0,0.000,-14.3,4.9,-10.2
24_11_11,HI 67,4,2,0.500,-15.1,14.5,-20.5,LO 67,6,3,0.500,13.3,16.3,-17.6
24_11_13,HI 67,6,4,0.667,29.8,17.3,-13.9,LO 67,4,0,0.000,-5.6,1.7,-9.8
24_11_15,HI 67,5,2,0.400,30.5,24.6,-6.2,LO 67,4,2,0.500,19.1,14.6,-6.3
24_11_18,HI 67,5,3,0.600,26.6,14.2,-0.3,LO 67,2,1,0.500,17.4,21.0,-3.6
24_11_20,HI 67,8,4,0.500,42.4,29.1,-24.3,LO 67,0,0,0.0,0.0,0.0,0.0
24_11_21,HI 67,9,4,0.444,23.2,55.8,-44.5,LO 67,2,2,1.000,24.0,13.2,0.0
24_11_25,HI 67,6,2,0.333,11.8,17.9,-16.4,LO 67,6,5,0.833,79.2,24.2,-6.2
24_11_26,HI 67,4,2,0.500,24.4,34.9,-19.7,LO 67,4,3,0.750,25.3,22.6,-30.6
24_11_27,HI 67,5,4,0.800,85.8,41.0,-12.0,LO 67,0,0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,
,,107,53,0.495,381.1,55.8,-44.5,,70,33,0.471,377.5,30.5,-30.6
