date,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl
24_10_18,HI 50,4,1,0.250,-3.3,12.4,-9.0,LO 50,2,1,0.500,22.9,22.1,0.0
24_10_23,HI 50,7,3,0.429,58.5,40.0,-8.0,LO 50,5,2,0.400,67.9,69.8,-5.0
24_10_24,HI 50,4,2,0.500,40.6,54.4,-15.0,LO 50,3,3,1.000,108.4,53.8,0.0
24_10_25,HI 50,2,1,0.500,15.3,20.3,-5.0,LO 50,0,0,0.0,0.0,0.0,0.0
24_10_29,HI 50,7,3,0.429,19.6,16.0,-5.0,LO 50,1,0,0.000,-4.5,0.0,-4.5
24_10_30,HI 50,2,0,0.000,-16.7,0.0,-10.8,LO 50,6,2,0.333,0.2,9.6,-6.7
24_10_31,HI 50,3,1,0.333,19.8,20.2,-3.8,LO 50,2,0,0.000,6.6,4.2,0.0
24_11_01,HI 50,3,2,0.667,16.6,13.5,-5.0,LO 50,7,1,0.143,-23.3,5.1,-15.0
24_11_04,HI 50,3,0,0.000,9.1,3.8,0.0,LO 50,3,0,0.000,-20.1,1.9,-15.0
24_11_05,HI 50,2,1,0.500,13.4,12.6,0.0,LO 50,3,0,0.000,-9.3,4.2,-8.5
24_11_11,HI 50,6,2,0.333,31.7,24.7,-14.2,LO 50,6,2,0.333,47.2,31.7,-5.0
24_11_13,HI 50,2,2,1.000,67.9,44.7,0.0,LO 50,1,0,0.000,-11.5,0.0,-11.5
24_11_15,HI 50,2,1,0.500,26.2,26.3,-0.1,LO 50,5,2,0.400,27.6,37.5,-14.2
24_11_18,HI 50,1,1,1.000,5.4,5.4,0.0,LO 50,6,4,0.667,103.4,81.6,-5.0
24_11_20,HI 50,4,3,0.750,66.4,62.5,-15.0,LO 50,3,2,0.667,78.2,65.2,-5.0
24_11_21,HI 50,6,2,0.333,89.0,77.8,-15.0,LO 50,2,0,0.000,3.7,3.5,0.0
24_11_25,HI 50,3,1,0.333,-2.8,5.4,-5.0,LO 50,6,3,0.500,35.6,19.2,-5.0
24_11_26,HI 50,4,2,0.500,33.0,20.7,-5.0,LO 50,1,1,1.000,20.0,20.0,0.0
24_11_27,HI 50,3,1,0.333,35.3,43.5,-5.0,LO 50,5,1,0.200,29.7,40.5,-5.0
,,,,,,,,,,,,,,
,,68,29,0.426,525,77.8,-15,,67,24,0.358,482.7,81.6,-15
