date	model	my_trigger	hit	precision	sum_pl	max_pl	min_pl	model	my_trigger	hit	precision	sum_pl	max_pl	min_pl
24_10_18	HI 67	5	2	0,400	22,0	12,4	-0,9	LO 67	4	1	0,250	12,8	13,7	-5,0
24_10_23	HI 67	8	2	0,250	42,5	33,7	-5,0	LO 67	3	3	1,000	84,2	63,0	0,0
24_10_24	HI 67	7	2	0,286	46,1	54,4	-5,0	LO 67	5	4	0,800	130,7	55,4	-5,0
24_10_25	HI 67	2	2	1,000	38,3	30,1	0,0	LO 67	4	1	0,250	17,2	16,0	-5,5
24_10_29	HI 67	7	2	0,286	-0,9	12,7	-6,5	LO 67	5	3	0,600	69,8	38,2	-5,0
24_10_30	HI 67	4	1	0,250	35,5	53,7	-12,0	LO 67	5	3	0,600	35,2	20,2	-1,5
24_10_31	HI 67	4	1	0,250	6,8	20,2	-11,3	LO 67	6	3	0,500	45,5	20,3	-3,5
24_11_01	HI 67	5	4	0,800	75,5	32,5	-5,0	LO 67	2	1	0,500	2,8	7,6	-4,8
24_11_04	HI 67	8	4	0,500	52,2	38,2	-5,0	LO 67	4	2	0,500	13,9	18,7	-13,0
24_11_05	HI 67	5	2	0,400	34,3	32,4	-5,2	LO 67	4	0	0,000	-18,2	0,5	-10,3
24_11_11	HI 67	4	2	0,500	32,3	22,6	-4,9	LO 67	6	2	0,333	9,5	13,9	-5,0
24_11_13	HI 67	6	3	0,500	24,8	25,6	-12,6	LO 67	4	0	0,000	-25,1	0,0	-7,1
24_11_15	HI 67	5	3	0,600	72,1	37,5	-5,0	LO 67	4	3	0,750	111,1	55,2	0,0
24_11_18	HI 67	5	2	0,400	68,2	37,7	-2,2	LO 67	2	2	1,000	30,0	23,2	0,0
24_11_20	HI 67	8	3	0,375	117,7	67,1	-10,0	LO 67	0	0	#DIV/0!	0,0	0,0	0,0
24_11_21	HI 67	9	4	0,444	179,9	77,8	-8,9	LO 67	2	2	1,000	19,0	10,0	0,0
24_11_25	HI 67	6	3	0,500	49,1	34,3	-13,9	LO 67	6	4	0,667	79,1	34,0	-5,0
24_11_26	HI 67	4	2	0,500	88,8	70,2	-5,0	LO 67	4	3	0,750	51,7	28,3	-8,5
24_11_27	HI 67	5	4	0,800	134,1	57,0	-5,0	LO 67	0	0	#DIV/0!	0,0	0,0	0,0
														
		107	48	0,449	1119,3	77,8	-13,9		70	37	0,529	669,2	63	-13
