date,model,my_trigger,target,hit,not_found,precision,recall,f1_score,model,my_trigger,target,hit,not_found,precision,recall,f1_score
24_10_18,HI 50,4,7,2,5,0.500,0.286,0.182,Lo 50,2,7,1,6,0.500,0.143,0.111
24_10_23,HI 50,7,9,3,6,0.429,0.333,0.188,Lo 50,5,9,2,7,0.400,0.222,0.143
24_10_24,HI 50,4,6,1,5,0.250,0.167,0.100,Lo 50,3,7,2,5,0.667,0.286,0.200
24_10_25,HI 50,2,7,1,6,0.500,0.143,0.111,Lo 50,0,7,0,7,0.0,0.000,0.0
24_10_29,HI 50,7,7,0,7,0.000,0.000,0.0,Lo 50,1,7,0,7,0.000,0.000,0.0
24_10_30,HI 50,2,9,0,9,0.000,0.000,0.0,Lo 50,6,10,2,8,0.333,0.200,0.125
24_10_31,HI 50,3,7,1,6,0.333,0.143,0.100,Lo 50,2,7,0,7,0.000,0.000,0.0
24_11_01,HI 50,3,6,1,5,0.333,0.167,0.111,Lo 50,7,6,0,6,0.000,0.000,0.0
24_11_04,HI 50,3,6,0,6,0.000,0.000,0.0,Lo 50,3,6,0,6,0.000,0.000,0.0
24_11_05,HI 50,2,5,1,4,0.500,0.200,0.143,Lo 50,3,5,0,5,0.000,0.000,0.0
24_11_11,HI 50,6,4,2,2,0.333,0.500,0.200,Lo 50,6,4,1,3,0.167,0.250,0.100
24_11_13,HI 50,2,15,1,14,0.500,0.067,0.059,Lo 50,1,15,0,15,0.000,0.000,0.0
24_11_15,HI 50,2,9,1,8,0.500,0.111,0.091,Lo 50,5,10,1,9,0.200,0.100,0.067
24_11_18,HI 50,1,7,0,7,0.000,0.000,0.0,Lo 50,6,7,3,4,0.500,0.429,0.231
24_11_20,HI 50,4,9,2,7,0.500,0.222,0.154,Lo 50,3,9,1,8,0.333,0.111,0.083
24_11_21,HI 50,6,12,2,10,0.333,0.167,0.111,Lo 50,2,13,2,11,1.000,0.154,0.133
24_11_25,HI 50,3,11,1,10,0.333,0.091,0.071,Lo 50,6,12,4,8,0.667,0.333,0.222
24_11_26,HI 50,4,9,2,7,0.500,0.222,0.154,Lo 50,1,10,0,10,0.000,0.000,0.0
24_11_27,HI 50,3,6,1,5,0.333,0.167,0.111,Lo 50,5,5,1,4,0.200,0.200,0.100
,,,,,,,,,,,,,,,,
,,68,151,22,129,0.324,0.146,0.100,,67,156,20,136,0.299,0.128,0.090
